scope,category,enum_type,member_name,display_name,is_vip,effect_id,resource_id,default_duration_ms
动态视觉效果,视频转场,TransitionType,_3D空间,3D空间,False,1506926,7049979667406656014,1500.0
动态视觉效果,视频转场,TransitionType,上下翻页,上下翻页,False,77055399,7397337005387944457,1000.0
动态视觉效果,视频转场,TransitionType,上移,上移,False,2917279,6724846395116753416,500.0
动态视觉效果,视频转场,TransitionType,下移,下移,False,2917280,6724849276100284942,500.0
动态视觉效果,视频转场,TransitionType,中心旋转,中心旋转,False,878914,6858191434294497805,500.0
动态视觉效果,视频转场,TransitionType,云朵,云朵,False,2912469,6955722927161479694,500.0
动态视觉效果,视频转场,TransitionType,倒影,倒影,False,369691,6748313807031898627,500.0
动态视觉效果,视频转场,TransitionType,冰雪结晶,冰雪结晶,False,1017910,6919369228701143559,500.0
动态视觉效果,视频转场,TransitionType,冲鸭,冲鸭,False,1441672,7030714241359286821,500.0
动态视觉效果,视频转场,TransitionType,分割,分割,False,4211683,6968372308419285540,500.0
动态视觉效果,视频转场,TransitionType,分割_II,分割 II,False,4211740,6969782622868214302,500.0
动态视觉效果,视频转场,TransitionType,分割_III,分割 III,False,4211739,6969793843403166215,500.0
动态视觉效果,视频转场,TransitionType,分割_IV,分割 IV,False,4211738,6969793934356648455,500.0
动态视觉效果,视频转场,TransitionType,前后对比_II,前后对比 II,False,28895844,7299290706277831218,800.0
动态视觉效果,视频转场,TransitionType,动漫云朵,动漫云朵,False,2911876,6777178865119793678,500.0
动态视觉效果,视频转场,TransitionType,动漫漩涡,动漫漩涡,False,878913,6858191448827761160,500.0
动态视觉效果,视频转场,TransitionType,动漫火焰,动漫火焰,False,2911875,6777178765643485709,500.0
动态视觉效果,视频转场,TransitionType,动漫闪电,动漫闪电,False,2911874,6777178696609436174,500.0
动态视觉效果,视频转场,TransitionType,压缩,压缩,False,4212466,6751618376780485133,500.0
动态视觉效果,视频转场,TransitionType,叠加,叠加,False,1003369,6914112332205396488,1000.0
动态视觉效果,视频转场,TransitionType,叠化,叠化,False,322577,6724845717472416269,500.0
动态视觉效果,视频转场,TransitionType,右移,右移,False,2917287,6726711296063967748,1000.0
动态视觉效果,视频转场,TransitionType,向上,向上,False,359459,6724227090872275463,1000.0
动态视觉效果,视频转场,TransitionType,向上擦除,向上擦除,False,2917281,6724849456891564557,500.0
动态视觉效果,视频转场,TransitionType,向下,向下,False,359449,6724227330190873100,1000.0
动态视觉效果,视频转场,TransitionType,向下擦除,向下擦除,False,2917282,6724849752921346573,500.0
动态视觉效果,视频转场,TransitionType,向下流动,向下流动,False,878912,6858191469807669773,500.0
动态视觉效果,视频转场,TransitionType,向右,向右,False,359527,6724227599616184836,1000.0
动态视觉效果,视频转场,TransitionType,向右上,向右上,False,359567,6724227870559834635,500.0
动态视觉效果,视频转场,TransitionType,向右下,向右下,False,359537,6724228621742903815,500.0
动态视觉效果,视频转场,TransitionType,向右拉伸,向右拉伸,False,4211782,6987299127025472031,500.0
动态视觉效果,视频转场,TransitionType,向右擦除,向右擦除,False,2917284,6724849898857959950,500.0
动态视觉效果,视频转场,TransitionType,向右流动,向右流动,False,878911,6858191483573375495,500.0
动态视觉效果,视频转场,TransitionType,向左,向左,False,359529,6724227717195108867,500.0
动态视觉效果,视频转场,TransitionType,向左上,向左上,False,359533,6724230442679013902,500.0
动态视觉效果,视频转场,TransitionType,向左下,向左下,False,359535,6724230577211314695,500.0
动态视觉效果,视频转场,TransitionType,向左拉伸,向左拉伸,False,4211781,6987201429622493732,500.0
动态视觉效果,视频转场,TransitionType,向左擦除,向左擦除,False,2917283,6724849999336706573,500.0
动态视觉效果,视频转场,TransitionType,吸入,吸入,False,15653345,7246288124110705209,1000.0
动态视觉效果,视频转场,TransitionType,回忆下滑,回忆下滑,False,33106283,7309840407406318117,1000.0
